lr,beta,train,test,pos,rot,kl
0.00029725163798913836,0.23,0.7546292,0.76764804,3.5164247,0.14302869,1.1302524
0.000281770641774294,0.24,0.76025796,0.76866937,3.491639,0.14255814,1.1189
0.00026616623462256375,0.25,0.7705658,0.7860175,3.511211,0.14260386,1.1073629
0.0002505,0.25,0.76608336,0.7793431,3.4738853,0.14172666,1.1078724
0.0002348337653774363,0.25,0.7651064,0.77913076,3.4722724,0.14123173,1.1065894
0.0002192293582257061,0.25,0.7617419,0.7746372,3.4444366,0.14074841,1.1061994
0.0002037483620108617,0.25,0.75769615,0.77441865,3.415217,0.14001217,1.1046488
0.0001884518731523687,0.25,0.7547618,0.7697983,3.3941147,0.13942629,1.1036961
0.0001734002599034507,0.25,0.7529537,0.76765436,3.3816726,0.13910443,1.1027277
0.0001586529241051729,0.25,0.7499208,0.7643769,3.3562384,0.13846993,1.1033084
0.00014426806675451437,0.25,0.74735403,0.7602298,3.3363204,0.13791019,1.103247
0.000130302458311622,0.25,0.7462637,0.7623944,3.3256817,0.13764825,1.1041889
0.00011681121465274027,0.25,0.74302715,0.75781363,3.2935443,0.13701557,1.1066285
0.00010384757955302797,0.25,0.74081546,0.7537317,3.2813628,0.13649957,1.1047184
9.146271455770191e-05,0.25,0.7398748,0.7542391,3.268173,0.13621995,1.1073499
7.970549707079216e-05,0.25,0.73787016,0.7510814,3.2534025,0.13584596,1.1067362
6.862232745835787e-05,0.25,0.7356655,0.7488258,3.2337492,0.13535072,1.1077597
5.8256945927440603e-05,0.25,0.73355955,0.7494075,3.220257,0.13509588,1.1057521
4.865025990345063e-05,0.25,0.7328298,0.74720937,3.2130728,0.13487017,1.1066095
3.984018258724729e-05,0.25,0.73212796,0.74868995,3.2035906,0.13466462,1.1084168
3.186148332905603e-05,0.25,0.7300064,0.74537545,3.1838388,0.13429372,1.1093149
2.4745650409728172e-05,0.25,0.729664,0.7452142,3.184845,0.1342567,1.1076912
1.8520766770881288e-05,0.25,0.72848487,0.7424398,3.173412,0.13410665,1.108148
1.3211399184359193e-05,0.25,0.7277065,0.7437237,3.1676557,0.133916,1.1080999
8.838501298406575e-06,0.25,0.7270811,0.74448377,3.160435,0.13379,1.1089904
5.419330943192164e-06,0.25,0.72668546,0.73934394,3.1602912,0.13387506,1.1071254
2.967382022037798e-06,0.25,0.72720945,0.74239224,3.162056,0.13389605,1.1084311
1.492331257146246e-06,0.0,0.44392714,0.45568392,3.1106765,0.13285942,1.1298685
0.00025,0.01,0.44437882,0.44276312,2.904413,0.1277044,2.6233063
0.00024975432768931983,0.02,0.4476934,0.45540717,2.7630708,0.12507686,2.315472
0.0002490182803136525,0.03,0.4584605,0.4696044,2.7939658,0.12527058,1.7931092
0.00024779476271572176,0.04,0.4717382,0.4849876,2.8348637,0.12554108,1.5677674
0.00024608860356051455,0.05,0.48478785,0.4974787,2.8474777,0.12528849,1.4950311
0.0002439065362787466,0.06,0.4970732,0.5112058,2.8509028,0.12511547,1.4477903
0.00024125717249308726,0.07,0.510643,0.5248761,2.8692975,0.12526701,1.4063747
0.00023815096803201941,0.08,0.5231775,0.53780675,2.8817444,0.12502724,1.3746982
0.00023460018166546098,0.09,0.53593636,0.5484063,2.8949416,0.12504855,1.3488183
0.00023061882672500086,0.1,0.54690343,0.5595285,2.8934395,0.12483231,1.3272713
